kaptCode,기본정보.1.kaptName,bjdCode,평균_매매가,평균_전세가,전용면적,갭차이,kaptdaCnt,기본정보.1.kaptAddr,기본정보.1.kaptDongCnt,기본정보.1.kaptdaCnt,기본정보.1.hoCnt,기본정보.1.privArea,기본정보.1.bjdCode
A45176705,명지미래힐1차,4122025621,14700,14000,83.456,700,287,경기도 평택시 포승읍 내기리 697 명지미래힐1차,4,287,287,23951.872,4122025621
A10024739,이천 마장 리젠시빌란트,4150034021,27305,26550,57.3766,755,298,경기도 이천시 마장면 오천리 4-6 이천 마장 리젠시빌란트,4,298,298,17036.0488,4150034021
A45671419,공도주은풍림,4155025025,11890,10800,49.77,1090,2615,경기도 안성시 공도읍 용두리 752 공도주은풍림,12,2615,2615,131430.15,4155025025
A45073517,시대한우리,4122011800,11100,10000,35.743,1100,550,경기도 평택시 비전동 874 시대한우리,4,550,550,24198.702,4122011800
A46971711,,4167010900,11285.71429,10000,59.995,1285.714286,,,,,,,
A40575812,만수 뉴서울 아파트,2820010300,10231.57895,8900,34.65,1331.578947,1234,인천광역시 남동구 만수동 1044 만수 뉴서울 아파트,6,1234,1234,42758.1,2820010300
A40010302,신흥아이파크 아파트,2811012800,20928.57143,19500,59.904,1428.571429,1330,인천광역시 중구 신흥동3가 7-235 신흥아이파크 아파트,9,1330,1330,108418.504,2811012800
A48791104,,4165034022,6950,5500,53.008,1450,,,,,,,
A40204001,학익두산위브,2817710300,9500,7900,15.987,1600,432,인천광역시 미추홀구 학익동 739 학익두산위브,3,432,432,44656.069,2817710300
A45974409,이충부영3단지,4122010900,14422.91667,12666.66667,56.62,1756.25,600,경기도 평택시 이충동 594-2 이충부영3단지,5,600,600,34161.24,4122010900
A48312001,상패주공,4125011200,7000,5000,39.99,2000,498,경기도 동두천시 상패동 61 상패주공,6,498,498,23962,4125011200
A46985618,,4167012200,7044.444444,5000,37.52,2044.444444,,,,,,,
A44772116,운암주공5단지,4137010300,19200,17000,49.95,2200,1186,경기도 오산시 원동 815-1 운암주공5단지,13,1186,1186,68996.53,4137010300
A10027209,신동백동도센트리움,4146311600,26200,24000,36.214,2200,254,경기도 용인기흥구 중동 1140 신동백동도센트리움,2,254,254,8177.589,4146311600
