aptNm,buildYear,contractTerm,contractType,dealYear,dealMonth,dealDay,deposit,monthlyRent,preDeposit,preMonthlyRent,excluUseAr,floor,jibun,sggCd,umdNm,useRRRight
명륜동주상복합아남아파트,1999, , ,2025,1,20,"43,500",0, , ,50.49,2,237,11110,명륜2가, 
창신쌍용2,1993, , ,2025,1,22,"38,000",10, , ,79.87,9,703,11110,창신동, 
삼성,1998, , ,2025,1,10,"42,000",0, , ,59.97,9,596,11110,평창동, 
현대,2000, , ,2025,1,22,"40,000",20, , ,60,11,82,11110,무악동, 
인왕산아이파크,2008, , ,2025,1,18,"65,000",0, , ,84.858,12,60,11110,무악동, 
현대,2000, , ,2025,1,18,"53,000",0, , ,60,12,82,11110,무악동, 
창신쌍용2,1993, , ,2025,1,19,"38,000",0, , ,79.87,15,703,11110,창신동, 
인왕산아이파크,2008, , ,2025,1,14,"20,000",240, , ,84.858,10,60,11110,무악동, 
인왕산2차아이파크,2015, , ,2025,1,16,"59,800",0, , ,84.4924,2,88,11110,무악동, 
창신쌍용2,1993, , ,2025,1,4,"4,000",140, , ,54.7,12,703,11110,창신동, 
롯데캐슬,2008, , ,2025,1,18,"61,000",0, , ,84.89,20,2545,11140,황학동, 
힐스테이트남산,2024, , ,2025,1,31,"44,000",0, , ,29.17,3,35,11140,묵정동, 
신당파인힐하나유보라,2019, , ,2025,1,21,"10,280",96, , ,59.0613,9,855,11140,신당동, 
롯데캐슬,2008, , ,2025,1,18,"5,000",180, , ,59.91,9,2545,11140,황학동, 
롯데캐슬,2008, , ,2025,1,13,"63,000",0, , ,84.92,29,2545,11140,황학동, 
한스아파트B,2012,25.02~27.02,신규,2025,1,24,"12,000",15, , ,18.9,4,340-45,11140,신당동, 
동대문솔하임,2016,25.02~26.02,신규,2025,1,14,"1,000",90, , ,19.6,18,8,11140,흥인동, 
남산타운,2002,25.01~27.01,갱신,2025,1,3,"90,000",0,"90,000", ,84.88,15,844,11140,신당동, 
남산센트럴자이,2009,25.07~27.07,갱신,2025,1,1,"105,000",0,"100,000", ,135.533,30,306,11140,충무로4가,사용
힐스테이트세운센트럴1단지,2023,25.03~27.03,신규,2025,1,10,"15,000",163, , ,49.7135,18,277,11140,입정동, 
산호,1977, , ,2025,1,11,"4,000",80, , ,40.46,9,118-16,11170,원효로4가, 
강촌,1998, , ,2025,1,18,"5,000",210, , ,59.12,3,402,11170,이촌동, 
신동아1,1992, , ,2025,1,15,"43,700",0, , ,84.93,1,448,11170,보광동, 
북한강(성원),2001, , ,2025,1,11,"36,750",0, , ,59.55,1,422,11170,이촌동, 
용산e편한세상,2011, , ,2025,1,16,"30,000",105, , ,59.66,10,48,11170,신계동, 
강촌,1998, , ,2025,1,4,"60,000",0, , ,59.12,12,402,11170,이촌동, 
리버탑,2001, , ,2025,1,20,"55,000",0, , ,59.57,2,802,11170,한남동, 
삼성래미안,2001, , ,2025,1,18,"46,700",0, , ,59.94,19,23,11170,도원동, 
삼성래미안,2001, , ,2025,1,20,"42,000",0, , ,59.94,3,23,11170,도원동, 
CJ나인파크,2007, , ,2025,1,18,"60,000",95, , ,97.24,6,24-6,11170,문배동, 
신동아,1996, , ,2025,1,10,"52,000",0, , ,84.81,14,275,11200,응봉동, 
센트라스,2016, , ,2025,1,23,"75,000",0, , ,59.94,6,1070,11200,하왕십리동, 
옥수파크힐스101동~116동,2016, , ,2025,1,12,"89,000",0, , ,59.78,7,528,11200,옥수동, 
서울숲푸르지오,2007, , ,2025,1,4,"70,000",160, , ,114.55,11,340,11200,금호동4가, 
한진타운,1994, , ,2025,1,15,"20,000",100, , ,59.4,6,704,11200,성수동1가, 
두산,1997, , ,2025,1,10,"25,000",100, , ,59.94,5,345,11200,행당동, 
왕십리자이,2017, , ,2025,1,18,"27,000",150, , ,59.99,7,1071,11200,하왕십리동, 
서울숲힐스테이트,2009, , ,2025,1,18,"40,000",190, , ,57.46,11,843,11200,성수동2가, 
서울숲 한신 더 휴,2003, , ,2025,1,11,"42,500",80, , ,84.95,11,349,11200,행당동, 
트리마제,2017, , ,2025,1,6,"10,000",348, , ,49.6683,15,718,11200,성수동1가, 
e편한세상광진그랜드파크,2021, , ,2025,1,20,"95,000",0, , ,84.9794,5,680,11215,구의동, 
우성2,1989,25.03~27.03,신규,2025,1,25,"40,000",0, , ,64.79,6,520-2,11215,자양동, 
e편한세상광진그랜드파크,2021,25.02~27.02,갱신,2025,1,18,"80,000",17,"80,000", ,84.9716,1,680,11215,구의동,사용
이튼타워리버2차,2006,25.01~27.01,갱신,2025,1,7,"7,000",230,"5,000",250,84.61,16,507-6,11215,자양동, 
타워캐슬,2012,25.01~27.01,갱신,2025,1,3,"2,000",46,"2,000",44,12.37,5,698,11215,중곡동, 
화양타워,1999,25.01~27.01,신규,2025,1,21,200,45, , ,13.65,2,110-37,11215,화양동, 
어울채,2024,~27.04,신규,2025,1,20,"8,861",25, , ,23.09,15,680-63,11215,자양동, 
어울채,2024,~27.04,신규,2025,1,22,"16,396",45, , ,39.02,19,680-63,11215,자양동, 
구의현대6단지,1994,25.03~27.03,갱신,2025,1,31,"60,000",0,"53,000", ,84.92,5,610,11215,구의동, 
어울채,2024,~27.04,신규,2025,1,22,"16,396",45, , ,39.02,24,680-63,11215,자양동, 
래미안엘리니티,2022, , ,2025,1,21,"10,000",290, , ,84.92,10,796,11230,용두동, 
