kaptCode,bjdCode,평균_매매가,평균_전세가,전용면적,갭차이,kaptdaCnt
A10020903,2817710100,34418.2,25000.0,59.9763,9418.199999999997,748.0
A10020907,1120011400,171000.0,127000.0,59.9397,44000.0,825.0
A10020940,4180025321,33564.0,19500.0,84.936,14064.0,
A10021000,2818510600,80934.0,45000.0,84.7098,35934.0,1533.0
A10021053,4146125321,45696.769230769234,23538.46153846154,84.20846153846153,22158.307692307695,1370.0
A10021482,4125010300,20900.0,15000.0,84.9414,5900.0,132.0
A10021637,1117013100,157500.0,44000.0,84.973,113500.0,129.0
A10022099,4128710400,43000.0,30000.0,59.05,13000.0,120.0
A10022325,1120011500,104000.0,62000.0,59.94,42000.0,141.0
A10022353,2818510600,58974.0,30000.0,59.3215,28974.0,336.0
A10022378,2871031025,25048.157894736843,14800.0,61.85733421052632,10248.157894736843,1324.0
A10022381,4128710500,62450.0,42000.0,84.3494,20450.0,400.0
A10022399,4159025322,50000.0,30000.0,84.4409,20000.0,2333.0
A10022497,4161025322,50333.333333333336,35000.0,84.9436,15333.333333333336,506.0
A10022510,4155025026,34500.0,23000.0,84.9851,11500.0,786.0
A10022657,4182025022,37250.0,27000.0,84.8166,10250.0,
A10022727,4122010100,45198.0,26000.0,74.86,19198.0,1107.0
A10022761,1114013600,55000.0,44000.0,29.17,11000.0,282.0
A10022813,4182025021,39833.333333333336,25000.0,84.96843333333334,14833.333333333336,
A10022983,4183025021,36000.0,2700.0,59.9846,33300.0,
A10023026,4145011500,112000.0,63000.0,84.8934,49000.0,496.0
A10023069,4183040024,29775.0,22500.0,59.990525000000005,7275.0,
A10023151,2817710500,44540.0,31500.0,59.964,13040.0,2958.0
A10023192,2823710200,67000.0,40000.0,84.99,27000.0,1409.0
A10023204,4111113700,69000.0,28300.0,59.756,40700.0,1130.0
A10023225,4115011300,61000.0,39000.0,84.9079,22000.0,1033.0
A10023247,4180025025,25830.0,16400.0,69.97942,9430.0,
A10023303,4139013200,39760.0,14000.0,59.9879,25760.0,930.0
A10023305,4146110200,41842.857142857145,25714.285714285714,62.13898571428571,16128.571428571431,838.0
A10023306,2811014500,54500.0,40000.0,98.03195,14500.0,1409.0
A10023310,4183025032,48533.333333333336,27350.0,84.8635,21183.333333333336,
